,0
1013,925008
1014,176100
1015,170941
1016,170362
1017,925803
1018,170949
1019,179085
1020,926661
1021,201014
1022,925186
1023,925128
1024,170350
1025,170351
1026,170354
1027,170355
1028,170352
1029,925560
1030,167098
1031,160098
1032,160528
1033,120087
1034,120085
1035,120075
1036,120014
1037,120082
1038,120101
1039,120023
1040,120031
1041,120076
1042,120061
1043,120062
1044,120018
1045,891180
1046,691180
1047,791180
1048,791580
1049,691580
1050,891580
1051,871100
1052,671100
1053,771100
1054,167186
1055,160192
1056,160530
1057,160186
1058,160196
1059,167196
1060,167148
1061,167457
1062,160457
1063,167192
1064,160148
1065,160238
1066,167238
1067,160518
1068,167518
1069,695180
1070,895180
1071,895380
1072,695380
1073,795380
1074,795500
1075,695500
1076,895500
1077,795180
1078,751212
1079,651212
1080,851212
1081,886800
1082,686800
1083,786800
1084,682801
1085,882801
1086,782801
1087,782201
1088,683800
1089,883800
1090,783800
1091,738800
1092,684800
1093,784800
1094,884800
1095,891800
1096,691800
1097,791800
1098,795160
1099,795104
1100,795110
1101,795105
1102,167059
1103,167286
1104,160286
1105,795400
1106,695400
1107,895400
1108,795330
1109,160060
1110,167060
1111,795340
1112,167251
1113,160251
1114,167252
1115,795320
1116,731050
1117,831050
1118,631050
1119,176056
1120,176062
1121,176123
1122,176140
1123,176134
1124,176019
1125,176024
1126,176023
1127,176030
1128,176012
1129,176044
1130,176074
1131,176144
1132,176079
1133,176078
1134,173135
1135,176117
1136,176080
1137,176139
1138,176077
1139,176141
1140,176135
1141,176119
1142,176120
1143,176118
1144,176116
1145,176106
1146,176087
1147,176082
1148,176110
1149,176124
1150,176111
1151,176089
1152,176085
1153,176131
1154,176132
1155,176125
1156,176097
1157,176083
1158,176104
1159,176094
1160,176081
1161,176138
1162,176092
1163,176112
1164,176095
1165,176108
1166,176107
1167,176113
1168,176121
1169,176133
1170,176129
1171,176114
1172,176103
1173,176099
1174,176126
1175,176096
1176,176088
1177,176128
1178,176136
1179,176115
1180,176090
1181,176102
1182,176086
1183,176091
1184,176084
1185,176137
1186,176093
1187,176101
1188,176098
1189,176127
1190,176142
1191,176035
1192,176033
1193,176032
1194,176034
1195,176016
1196,176013
1197,176014
1198,176041
1199,176020
1200,176069
1201,176146
1202,176043
1203,176022
1204,176027
1205,176028
1206,176029
1207,176031
1208,176026
1209,176025
1210,176021
1211,176046
1212,176051
1213,176058
1214,176066
1215,176059
1216,176045
1217,176067
1218,176050
1219,176065
1220,176049
1221,176047
1222,176068
1223,176048
1224,176061
1225,176071
1226,176072
1227,176073
1228,176060
1229,176070
1230,176055
1231,176054
1232,176064
1233,176053
1234,176057
1235,176063
1236,176052
1237,176040
1238,176042
1239,176105
1240,176075
1241,176145
1242,176076
1243,176122
1244,176143
1245,176130
1246,176011
1247,176109
1248,179043
1249,160059
1250,153508
1251,153855
1252,153070
1253,153092
1254,153328
1255,167287
1256,160287
1257,926366
1258,153255
1259,926052
1260,410042
1261,179044
1262,919818
1263,926428
1264,925531
1265,980572
1266,910910
1267,910891
1268,919821
1269,910859
1270,926072
1271,926517
1272,760100
1273,778000
1274,560020
1275,560019
1276,175035
1277,175001
1278,155002
1279,560018
1280,530020
1281,175004
1282,926240
1283,926298
1284,926297
1285,443023
1286,135098
1287,175016
1288,175017
1289,175033
1290,175031
1291,175024
1292,175022
1293,175011
1294,175014
1295,175025
1296,175028
1297,175027
1298,175018
1299,175010
1300,201047
1301,926585
1302,926741
1303,10001
1304,10002
1305,974004
1306,926598
1307,926434
1308,926760
1309,926508
1310,926643
1311,926620
1312,926686
1313,926677
1314,956519
1315,926306
1316,926470
1317,926726
1318,926522
1319,926067
1320,926559
1321,926702
1322,926375
1323,926295
1324,926148
1325,926311
1326,926708
1327,926031
1328,926564
1329,925327
1330,926589
1331,926402
1332,925999
1333,926574
1334,926715
1335,926412
1336,926776
1337,926772
1338,926642
1339,926705
1340,926716
1341,926731
1342,925010
1343,926569
1344,926768
1345,926567
1346,926369
1347,926065
1348,167288
1349,160288
1350,160451
1351,167237
1352,153191
1353,158140
1354,158972
1355,153939
1356,152805
1357,152237
1358,155062
1359,155061
1360,152662
1361,152292
1362,158533
1363,154839
1364,152145
1365,158455
1366,158633
1367,151072
1368,151068
1369,151071
1370,151069
1371,151070
1372,158673
1373,155527
1374,152146
1375,155570
1376,154854
1377,155143
1378,158962
1379,152134
1380,155389
1381,158716
1382,158963
1383,155144
1384,152737
1385,155422
1386,152803
1387,154855
1388,152800
1389,152802
1390,158970
1391,152801
1392,155081
1393,154859
1394,152804
1395,155146
1396,158950
1397,155440
1398,153557
1399,153554
1400,153558
1401,153555
1402,153548
1403,153549
1404,153556
1405,158971
1406,154856
1407,158532
1408,254456
1409,785310
1410,683330
1411,883330
1412,883310
1413,683310
1414,685340
1415,885340
1416,889310
1417,689310
1418,789310
1419,682320
1420,882320
